ID_OSOBNIKA,GENERACJA,WARTOSC_OSOBNIKA,EWALUACJA,FITNESS
145,2,233,0.0667379,0.00451085
146,2,233,0.0667379,0.00451085
147,2,169,0.0667379,0.00451085
148,2,235,0.0667379,0.00451085
149,2,233,0.0667379,0.00451085
150,2,232,0.0667379,0.00451085
151,2,233,0.0625939,0.00423076
152,2,233,0.0667379,0.00451085
153,2,233,0.0667379,0.00451085
154,2,233,0.0667379,0.00451085
155,2,233,0.0667379,0.00451085
156,2,225,0.0667379,0.00451085
157,2,233,0.0667379,0.00451085
158,2,233,0.0667379,0.00451085
159,2,233,0.0667379,0.00451085
160,2,233,0.0667379,0.00451085
161,2,233,0.0667379,0.00451085
162,2,233,0.0667379,0.00451085
163,2,233,0.0667379,0.00451085
164,2,233,0.0667379,0.00451085
165,2,233,0.0667379,0.00451085
166,2,233,0.0667379,0.00451085
167,2,233,0.0667379,0.00451085
168,2,233,0.0667379,0.00451085
169,2,233,0.0667379,0.00451085
170,2,233,0.0667379,0.00451085
171,2,233,0.0522357,0.00353064
172,2,233,0.0667379,0.00451085
173,2,233,0.0667379,0.00451085
174,2,233,0.0667379,0.00451085
175,2,233,0.0667379,0.00451085
176,2,217,0.0667379,0.00451085
177,2,233,0.0667379,0.00451085
178,2,233,0.0667379,0.00451085
179,2,233,0.0667379,0.00451085
180,2,233,0.0667379,0.00451085
181,2,233,0.0667379,0.00451085
182,2,233,0.0667379,0.00451085
183,2,233,0.0667379,0.00451085
184,2,233,0.0667379,0.00451085
185,2,233,0.0522357,0.00353064
186,2,233,0.0667379,0.00451085
187,2,233,0.0667379,0.00451085
188,2,233,0.0667379,0.00451085
189,2,233,0.0667379,0.00451085
190,2,233,0.0667379,0.00451085
191,2,233,0.0667379,0.00451085
192,2,233,0.0667379,0.00451085
193,2,169,0.0667379,0.00451085
194,2,169,0.0667379,0.00451085
195,2,168,0.0667379,0.00451085
196,2,169,0.0667379,0.00451085
197,2,173,0.0667379,0.00451085
198,2,169,0.0625939,0.00423076
199,2,169,0.0667379,0.00451085
200,2,169,0.0667379,0.00451085
201,3,107,8.62069,0.026355
202,3,107,8.62069,0.026355
203,3,107,7.35294,0.0224793
204,3,107,7.35294,0.0224793
205,3,107,5,0.0152859
206,3,107,7.35294,0.0224793
207,3,107,7.35294,0.0224793
208,3,107,7.35294,0.0224793
209,3,107,7.35294,0.0224793
210,3,107,7.35294,0.0224793
211,3,107,7.35294,0.0224793
212,3,107,7.35294,0.0224793
213,3,107,7.35294,0.0224793
214,3,107,7.35294,0.0224793
215,3,107,7.35294,0.0224793
216,3,107,7.35294,0.0224793
217,3,105,5,0.0152859
218,3,105,7.35294,0.0224793
219,3,249,7.35294,0.0224793
220,3,235,7.35294,0.0224793
221,3,249,7.35294,0.0224793
222,3,249,7.35294,0.0224793
223,3,233,7.35294,0.0224793
224,3,249,7.35294,0.0224793
225,3,233,7.35294,0.0224793
226,3,233,7.35294,0.0224793
227,3,233,7.35294,0.0224793
228,3,233,7.35294,0.0224793
229,3,233,7.35294,0.0224793
230,3,233,7.35294,0.0224793
231,3,233,7.35294,0.0224793
232,3,233,7.35294,0.0224793
233,3,233,7.35294,0.0224793
234,3,225,7.35294,0.0224793
235,3,233,7.35294,0.0224793
236,3,233,7.35294,0.0224793
237,3,233,7.35294,0.0224793
238,3,233,7.35294,0.0224793
239,3,233,7.35294,0.0224793
240,3,233,7.35294,0.0224793
241,3,233,7.35294,0.0224793
242,3,233,7.35294,0.0224793
243,3,233,7.35294,0.0224793
244,3,233,7.35294,0.0224793
245,3,249,0.0667379,0.00020403
246,3,249,0.0667379,0.00020403
247,3,169,0.288684,0.000882558
248,3,233,0.0646162,0.000197543
249,3,233,0.0667379,0.00020403
250,3,233,0.067838,0.000207393
